,lat,long
CHA 5,28.675,-82.65833
CHA 7,28.69167,-82.675
CHA 8,28.66333,-82.67333
CRY 1,28.925,-82.74167
CRY 2,28.925,-82.70833
CRY 5,28.89167,-82.74167
CRY 6,28.89167,-82.70833
CRY 8,28.85833,-82.74167
HOM 3,28.79175,-82.70855
HOM 7,28.75833,-82.70833
HOM 9,28.72588,-82.70782
STE 100,29.62537,-83.4352
STE 101,29.62315,-83.47017
STE 111,29.53655,-83.46461
STE 114,29.50963,-83.47405
STE 117,29.4519,-83.4166
STE 75,29.84131,-83.71164
STE 76,29.84214,-83.65974
STE 77,29.84159,-83.62227
STE 87,29.69615,-83.60117
STE 96,29.67588,-83.47572
STE 97,29.66756,-83.4413
STE 98,29.64702,-83.48766
WAC 10,29.10833,-82.85833
WAC 6,29.125,-82.84167
WAC 8,29.14167,-82.825
WAC 9,29.14167,-82.85833
WEE 6,28.55833,-82.675
WEE 7,28.525,-82.675
